280,Maikarunite,417,Mikal Mahoney,Mikal Mahoney,2196,100,80,60,0,,2,240
281,Ismail Hussein,416,,Ismail Hussein,2075,100,100,,,,3,200
282,Jake Erickson,414,,Jake Erickson,2675,80,60,0,,,3,140
283,Jordan Wiseman,414,,Jordan Wiseman,429,80,0,0,0,,4,80
284,James Craig,410,,James Craig,1684,80,0,0,0,,4,80
285,Greyson Hammock,409,,Greyson Hammock,327,80,80,60,0,0,2,220
286,Ben Omnes-Norton,409,,Ben Omnes-Norton,4440,125,,,,,4,125
287,Zach K,409,Zachary Kelly,Zachary Kelly,2273,100,100,80,60,0,1,340
288,Michael Reagan,407,,Michael Reagan,567,80,80,0,,,3,160
289,Cody Sharp,407,,Cody Sharp,1993,60,60,,,,3,120
290,"Gerald ""Tre"" Hoard",406,Gerald Hoard,Gerald Hoard,2058,60,,,,,4,60
291,Quitefrank,405,Austin Frank,Austin Frank,86,120,80,60,60,0,1,320
292,Mano_Logic,405,Emmanuel Boctor,Emmanuel Boctor,1643,125,100,80,80,,1,385
293,Kaitlyn Hibbard,404,,Kaitlyn Hibbard,7168,0,,,,,5,0
294,Arbin T,403,Arbin Tumaneng,Arbin Tumaneng,3658,80,60,0,,,3,140
295,Michael Ruiz,400,,Michael Ruiz,4632,80,60,0,,,3,140
296,Jianzheng Huang,399,,Jianzheng Huang,2105,80,0,,,,4,80
297,Kevonne Boreland,397,,Kevonne Boreland,2149,125,100,80,,,2,305
298,Luke Kroll,352,,Luke Kroll,,125,100,60,,,2,
299,Andrew Ding,350,,Andrew Ding,,350,,,,,4,
300,Michael Vono,0,,Michael Vono,,,,,,,5,
